PING 117.211.91.133 (117.211.91.133) 56(84) bytes of data.
64 bytes from 117.211.91.133: icmp_req=112 ttl=59 time=60.7 ms
64 bytes from 117.211.91.133: icmp_req=113 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=114 ttl=59 time=63.9 ms
64 bytes from 117.211.91.133: icmp_req=115 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=116 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=117 ttl=59 time=63.9 ms
64 bytes from 117.211.91.133: icmp_req=118 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=119 ttl=59 time=62.0 ms
64 bytes from 117.211.91.133: icmp_req=120 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=121 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=122 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=123 ttl=59 time=61.2 ms
64 bytes from 117.211.91.133: icmp_req=124 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=125 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=126 ttl=59 time=62.3 ms
64 bytes from 117.211.91.133: icmp_req=127 ttl=59 time=62.6 ms
64 bytes from 117.211.91.133: icmp_req=128 ttl=59 time=62.9 ms
64 bytes from 117.211.91.133: icmp_req=129 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=130 ttl=59 time=62.9 ms
64 bytes from 117.211.91.133: icmp_req=131 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=132 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=133 ttl=59 time=62.8 ms
64 bytes from 117.211.91.133: icmp_req=134 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=135 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=136 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=137 ttl=59 time=61.7 ms
64 bytes from 117.211.91.133: icmp_req=138 ttl=59 time=63.9 ms
64 bytes from 117.211.91.133: icmp_req=139 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=140 ttl=59 time=62.9 ms
64 bytes from 117.211.91.133: icmp_req=141 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=142 ttl=59 time=61.8 ms
64 bytes from 117.211.91.133: icmp_req=143 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=144 ttl=59 time=64.9 ms
64 bytes from 117.211.91.133: icmp_req=145 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=146 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=147 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=148 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=149 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=150 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=151 ttl=59 time=62.9 ms
64 bytes from 117.211.91.133: icmp_req=152 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=153 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=154 ttl=59 time=61.0 ms
64 bytes from 117.211.91.133: icmp_req=155 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=156 ttl=59 time=60.8 ms
64 bytes from 117.211.91.133: icmp_req=157 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=158 ttl=59 time=63.0 ms
64 bytes from 117.211.91.133: icmp_req=159 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=160 ttl=59 time=61.9 ms
64 bytes from 117.211.91.133: icmp_req=161 ttl=59 time=68.9 ms
64 bytes from 117.211.91.133: icmp_req=162 ttl=59 time=60.9 ms
64 bytes from 117.211.91.133: icmp_req=163 ttl=59 time=60.9 ms
